WORD,MPQA,OPENER,OL,VADER
:^|,-0.25,-0.25,-0.25,-0.25
:c,-0.525,-0.525,-0.525,-0.525
:c),0.5,0.5,0.5,0.5
:d,0.575,0.575,0.575,0.575
:l,-0.425,-0.425,-0.425,-0.425
:o,-0.1,-0.1,-0.1,-0.1
:o),0.525,0.525,0.525,0.525
:o/,-0.35,-0.35,-0.35,-0.35
:o\,-0.275,-0.275,-0.275,-0.275
:o|,-0.15,-0.15,-0.15,-0.15
:p,0.25,0.25,0.25,0.25
:s,-0.3,-0.3,-0.3,-0.3
:{,-0.475,-0.475,-0.475,-0.475
:|,-0.1,-0.1,-0.1,-0.1
:},0.525,0.525,0.525,0.525
:Þ,0.275,0.275,0.275,0.275
;),0.225,0.225,0.225,0.225
;-),0.25,0.25,0.25,0.25
;-*,0.55,0.55,0.55,0.55
;-],0.175,0.175,0.175,0.175
;D,0.2,0.2,0.2,0.2
;],0.15,0.15,0.15,0.15
;^),0.35,0.35,0.35,0.35
;d,0.2,0.2,0.2,0.2
</3,-0.75,-0.75,-0.75,-0.75
<3,0.475,0.475,0.475,0.475
<:,0.525,0.525,0.525,0.525
<:-|,-0.35,-0.35,-0.35,-0.35
=),0.55,0.55,0.55,0.55
=-3,0.5,0.5,0.5,0.5
=-D,0.6,0.6,0.6,0.6
=-d,0.6,0.6,0.6,0.6
=/,-0.35,-0.35,-0.35,-0.35
=3,0.525,0.525,0.525,0.525
=D,0.575,0.575,0.575,0.575
=\,-0.3,-0.3,-0.3,-0.3
=],0.4,0.4,0.4,0.4
=d,0.575,0.575,0.575,0.575
=l,-0.3,-0.3,-0.3,-0.3
=p,0.325,0.325,0.325,0.325
=|,-0.2,-0.2,-0.2,-0.2
>-:,-0.5,-0.5,-0.5,-0.5
>.<,-0.325,-0.325,-0.325,-0.325
>:,-0.525,-0.525,-0.525,-0.525
>:(,-0.675,-0.675,-0.675,-0.675
>:),0.1,0.1,0.1,0.1
>:-(,-0.675,-0.675,-0.675,-0.675
>:-),-0.1,-0.1,-0.1,-0.1
>:/,-0.4,-0.4,-0.4,-0.4
>:[,-0.525,-0.525,-0.525,-0.525
>:\,-0.425,-0.425,-0.425,-0.425
>:o,-0.3,-0.3,-0.3,-0.3
>:p,0.25,0.25,0.25,0.25
>;(,-0.725,-0.725,-0.725,-0.725
>;),0.025,0.025,0.025,0.025
>_>^,0.525,0.525,0.525,0.525
@:,-0.525,-0.525,-0.525,-0.525
@>-->--,0.525,0.525,0.525,0.525
@}-;-'---,0.55,0.55,0.55,0.55
O.o,-0.15,-0.15,-0.15,-0.15
O_o,-0.125,-0.125,-0.125,-0.125
[-;,0.125,0.125,0.125,0.125
[:,0.325,0.325,0.325,0.325
[;,0.25,0.25,0.25,0.25
[=,0.425,0.425,0.425,0.425
\-:,-0.25,-0.25,-0.25,-0.25
\:,-0.25,-0.25,-0.25,-0.25
\:<,-0.425,-0.425,-0.425,-0.425
\=,-0.275,-0.275,-0.275,-0.275
\^:,-0.325,-0.325,-0.325,-0.325
\o/,0.55,0.55,0.55,0.55
\o:,-0.3,-0.3,-0.3,-0.3
]-:,-0.525,-0.525,-0.525,-0.525
]:,-0.4,-0.4,-0.4,-0.4
]:<,-0.625,-0.625,-0.625,-0.625
^<_<,0.35,0.35,0.35,0.35
^urs,-0.7,-0.7,-0.7,-0.7
a+,1.0,1.0,1.0,1.0
aas,0.625,0.625,0.625,0.625
aayf,0.675,0.675,0.675,0.675
abandon,-1.0,-1.0,-0.8250000000000001,-0.475
abandoned,-1.0,-1.0,-0.8333333333333334,-0.5
abandoner,-0.475,-0.475,-0.475,-0.475
abandoners,-0.475,-0.475,-0.475,-0.475
abandoning,-0.4,-0.4,-0.4,-0.4
abandonment,-1.0,-1.0,-0.8666666666666667,-0.6
abandonments,-0.425,-0.425,-0.425,-0.425
abandons,-0.325,-0.325,-0.325,-0.325
abase,-1.0,-1.0,-1.0,-1.0
abasement,-1.0,-1.0,-1.0,-1.0
abash,-1.0,-1.0,-1.0,-1.0
abate,-1.0,-1.0,-1.0,-1.0
abdicate,-1.0,-1.0,-1.0,-1.0
abducted,-0.575,-0.575,-0.575,-0.575
abduction,-0.7,-0.7,-0.7,-0.7
abductions,-0.5,-0.5,-0.5,-0.5
aberration,-1.0,-1.0,-1.0,-1.0
abhor,-1.0,-1.0,-0.8333333333333334,-0.5
abhorred,-1.0,-1.0,-0.8666666666666667,-0.6
abhorrence,-1.0,-1.0,-1.0,-1.0
abhorrent,-1.0,-1.0,-0.9249999999999999,-0.775
abhorrently,-1.0,-1.0,-1.0,-1.0
abhors,-1.0,-1.0,-0.9083333333333333,-0.725
abidance,1.0,1.0,1.0,1.0
abide,1.0,1.0,1.0,1.0
abilities,1.0,1.0,0.75,0.25
ability,1.0,1.0,0.775,0.325
abject,-1.0,-1.0,-1.0,-1.0
abjectly,-1.0,-1.0,-1.0,-1.0
abjure,-1.0,-1.0,-1.0,-1.0
able,1.0,1.0,1.0,1.0
abnormal,-1.0,-1.0,-1.0,-1.0
aboard,0.025,0.025,0.025,0.025
abolish,-1.0,-1.0,-1.0,-1.0
abominable,-1.0,-1.0,-1.0,-1.0
abominably,-1.0,-1.0,-1.0,-1.0
abominate,-1.0,-1.0,-1.0,-1.0
abomination,-1.0,-1.0,-1.0,-1.0
abort,-1.0,-1.0,-1.0,-1.0
aborted,-1.0,-1.0,-1.0,-1.0
aborts,-1.0,-1.0,-1.0,-1.0
abound,1.0,1.0,1.0,1.0
abounds,1.0,1.0,1.0,1.0
above,1.0,1.0,1.0,1.0
above-average,1.0,1.0,1.0,1.0
abrade,-1.0,-1.0,-1.0,-1.0
abrasive,-1.0,-1.0,-1.0,-1.0
abrupt,-1.0,-1.0,-1.0,-1.0
abruptly,-1.0,-1.0,-1.0,-1.0
abscond,-1.0,-1.0,-1.0,-1.0
absence,-1.0,-1.0,-1.0,-1.0
absent-minded,-1.0,-1.0,-1.0,-1.0
absentee,-1.0,-1.0,-1.0,-0.275
absentees,-0.2,-0.2,-0.2,-0.2
absolute,0.0,0.0,0.0,0.0
absolutely,0.0,0.0,0.0,0.0
absolve,1.0,1.0,0.7666666666666666,0.3
absolved,0.375,0.375,0.375,0.375
absolves,0.325,0.325,0.325,0.325
absolving,0.4,0.4,0.4,0.4
absorbed,0.0,0.0,0.0,0.0
absurd,-1.0,-1.0,-1.0,-1.0
absurdity,-1.0,-1.0,-1.0,-1.0
absurdly,-1.0,-1.0,-1.0,-1.0
absurdness,-1.0,-1.0,-1.0,-1.0
abundance,1.0,1.0,1.0,1.0
abundant,1.0,1.0,1.0,1.0
abuse,-1.0,-1.0,-1.0,-0.8
abused,-0.7875,-0.7875,-1.0,-0.575
abuser,-0.65,-0.65,-0.65,-0.65
abusers,-0.65,-0.65,-0.65,-0.65
abuses,-1.0,-1.0,-1.0,-0.65
abusing,-0.5,-0.5,-0.5,-0.5
abusive,-1.0,-1.0,-1.0,-0.8
abusively,-0.7,-0.7,-0.7,-0.7
abusiveness,-0.625,-0.625,-0.625,-0.625
abusivenesses,-0.75,-0.75,-0.75,-0.75
abysmal,-1.0,-1.0,-1.0,-1.0
abysmally,-1.0,-1.0,-1.0,-1.0
abyss,-1.0,-1.0,-1.0,-1.0
accede,1.0,1.0,1.0,1.0
accentuate,0.0,0.0,0.0,0.0
accept,1.0,1.0,0.7999999999999999,0.4
acceptabilities,0.4,0.4,0.4,0.4
acceptability,0.275,0.275,0.275,0.275
acceptable,1.0,1.0,0.775,0.325
acceptableness,0.325,0.325,0.325,0.325
acceptably,0.375,0.375,0.375,0.375
acceptance,1.0,1.0,0.8333333333333334,0.5
acceptances,0.425,0.425,0.425,0.425
acceptant,0.4,0.4,0.4,0.4
acceptation,0.325,0.325,0.325,0.325
acceptations,0.225,0.225,0.225,0.225
accepted,0.275,0.275,0.275,0.275
accepting,0.4,0.4,0.4,0.4
accepts,0.325,0.325,0.325,0.325
accessable,1.0,1.0,1.0,1.0
accessible,1.0,1.0,1.0,1.0
accident,-0.525,-0.525,-0.525,-0.525
accidental,-1.0,-1.0,-1.0,-0.075
accidentally,-0.35,-0.35,-0.35,-0.35
accidents,-0.325,-0.325,-0.325,-0.325
acclaim,1.0,1.0,1.0,1.0
acclaimed,1.0,1.0,1.0,1.0
acclamation,1.0,1.0,1.0,1.0
accolade,1.0,1.0,1.0,1.0
accolades,1.0,1.0,1.0,1.0
accommodative,1.0,1.0,1.0,1.0
accomodative,1.0,1.0,1.0,1.0
accomplish,1.0,1.0,1.0,0.45
accomplished,0.7375,0.7375,1.0,0.475
accomplishes,0.425,0.425,0.425,0.425
accomplishment,1.0,1.0,1.0,1.0
accomplishments,1.0,1.0,1.0,1.0
accord,1.0,1.0,1.0,1.0
accordance,1.0,1.0,1.0,1.0
accordantly,1.0,1.0,1.0,1.0
accost,-1.0,-1.0,-1.0,-1.0
accountable,-1.0,-1.0,-1.0,-1.0
accurate,1.0,1.0,1.0,1.0
accurately,1.0,1.0,1.0,1.0
accursed,-1.0,-1.0,-1.0,-1.0
accusation,-1.0,-1.0,-1.0,-0.25
accusations,-1.0,-1.0,-1.0,-0.325
accuse,-1.0,-1.0,-1.0,-0.2
accused,-0.3,-0.3,-0.3,-0.3
accuses,-1.0,-1.0,-1.0,-0.35
accusing,-1.0,-1.0,-1.0,-0.175
accusingly,-1.0,-1.0,-1.0,-1.0
acerbate,-1.0,-1.0,-1.0,-1.0
acerbic,-1.0,-1.0,-1.0,-1.0
acerbically,-1.0,-1.0,-1.0,-1.0
ache,-1.0,-1.0,-1.0,-0.4
ached,-0.7,-0.7,-1.0,-0.4
aches,-0.625,-0.625,-1.0,-0.25
achey,-1.0,-1.0,-1.0,-1.0
achievable,1.0,1.0,1.0,0.325
achieve,1.0,1.0,1.0,1.0
achievement,1.0,1.0,1.0,1.0
achievements,1.0,1.0,1.0,1.0
achievible,1.0,1.0,1.0,1.0
aching,-0.775,-0.775,-1.0,-0.55
acknowledge,1.0,1.0,1.0,1.0
acknowledgement,1.0,1.0,1.0,1.0
acquit,1.0,1.0,0.7333333333333334,0.2
acquits,0.025,0.025,0.025,0.025
acquitted,0.25,0.25,0.25,0.25
acquitting,0.325,0.325,0.325,0.325
acrid,-1.0,-1.0,-1.0,-1.0
acridly,-1.0,-1.0,-1.0,-1.0
acridness,-1.0,-1.0,-1.0,-1.0
acrimonious,-1.0,-1.0,-1.0,-0.425
acrimoniously,-1.0,-1.0,-1.0,-1.0
acrimony,-1.0,-1.0,-1.0,-1.0
active,1.0,1.0,0.8083333333333332,0.425
actively,0.325,0.325,0.325,0.325
activeness,0.15,0.15,0.15,0.15
activenesses,0.2,0.2,0.2,0.2
actives,0.275,0.275,0.275,0.275
activist,0.0,0.0,0.0,0.0
actual,0.0,0.0,0.0,0.0
actuality,0.0,0.0,0.0,0.0
actually,0.0,0.0,0.0,0.0
acumen,1.0,1.0,1.0,1.0
adamant,-1.0,-1.0,-1.0,-1.0
adamantly,-1.0,-1.0,-1.0,-1.0
adaptability,1.0,1.0,1.0,1.0
adaptable,1.0,1.0,1.0,1.0
adaptive,1.0,1.0,1.0,1.0
addict,-1.0,-1.0,-1.0,-1.0
addicted,-1.0,-1.0,-1.0,-1.0
addicting,-1.0,-1.0,-1.0,-1.0
addiction,-1.0,-1.0,-1.0,-1.0
addicts,-1.0,-1.0,-1.0,-1.0
adept,1.0,1.0,1.0,1.0
adeptly,1.0,1.0,1.0,1.0
adequate,1.0,1.0,1.0,0.225
adherence,1.0,1.0,1.0,1.0
adherent,1.0,1.0,1.0,1.0
adhesion,1.0,1.0,1.0,1.0
adjustable,1.0,1.0,1.0,1.0
admirability,0.6,0.6,0.6,0.6
admirable,1.0,1.0,1.0,0.65
admirableness,0.55,0.55,0.55,0.55
admirably,1.0,1.0,1.0,0.625
admiral,0.325,0.325,0.325,0.325
admirals,0.375,0.375,0.375,0.375
admiralties,0.4,0.4,0.4,0.4
admiralty,0.3,0.3,0.3,0.3
admiration,1.0,1.0,1.0,0.625
admirations,0.4,0.4,0.4,0.4
admire,1.0,1.0,1.0,0.525
admired,0.575,0.575,0.575,0.575
admirer,1.0,1.0,1.0,0.45
admirers,0.425,0.425,0.425,0.425
admires,0.375,0.375,0.375,0.375
admiring,1.0,1.0,1.0,0.4
admiringly,1.0,1.0,1.0,0.575
admission,1.0,1.0,1.0,1.0
admit,1.0,1.0,0.7333333333333334,0.2
admits,0.3,0.3,0.3,0.3
admitted,0.1,0.1,0.1,0.1
admittedly,1.0,1.0,1.0,1.0
admonish,-1.0,-1.0,-1.0,-1.0
admonished,-0.475,-0.475,-0.475,-0.475
admonisher,-1.0,-1.0,-1.0,-1.0
admonishingly,-1.0,-1.0,-1.0,-1.0
admonishment,-1.0,-1.0,-1.0,-1.0
admonition,-1.0,-1.0,-1.0,-1.0
adolescents,0.0,0.0,0.0,0.0
adopt,0.175,0.175,0.175,0.175
adopts,0.175,0.175,0.175,0.175
adorability,0.55,0.55,0.55,0.55
adorable,1.0,1.0,1.0,0.55
adorableness,0.625,0.625,0.625,0.625
adorably,0.525,0.525,0.525,0.525
adoration,0.725,0.725,0.725,0.725
adorations,0.55,0.55,0.55,0.55
adore,1.0,1.0,1.0,0.65
adored,1.0,1.0,1.0,0.45
adorer,1.0,1.0,1.0,0.425
adorers,0.525,0.525,0.525,0.525
adores,0.4,0.4,0.4,0.4
adoring,1.0,1.0,1.0,0.65
adoringly,1.0,1.0,1.0,0.6
adorn,0.225,0.225,0.225,0.225
adorned,0.2,0.2,0.2,0.2
adorner,0.325,0.325,0.325,0.325
adorners,0.225,0.225,0.225,0.225
adorning,0.25,0.25,0.25,0.25
adornment,0.325,0.325,0.325,0.325
adornments,0.2,0.2,0.2,0.2
adorns,0.125,0.125,0.125,0.125
adrift,-1.0,-1.0,-1.0,-1.0
adroit,1.0,1.0,1.0,1.0
adroitly,1.0,1.0,1.0,1.0
adulate,1.0,1.0,1.0,1.0
adulation,1.0,1.0,1.0,1.0
adulatory,1.0,1.0,1.0,1.0
adulterate,-1.0,-1.0,-1.0,-1.0
adulterated,-1.0,-1.0,-1.0,-1.0
adulteration,-1.0,-1.0,-1.0,-1.0
adulterier,-1.0,-1.0,-1.0,-1.0
advanced,1.0,1.0,1.0,0.25
advantage,1.0,1.0,1.0,0.25
advantaged,0.35,0.35,0.35,0.35
advantageous,1.0,1.0,1.0,0.375
advantageously,0.7375,0.7375,1.0,0.475
advantageousness,0.4,0.4,0.4,0.4
advantages,1.0,1.0,1.0,0.375
advantaging,0.4,0.4,0.4,0.4
adventure,1.0,1.0,0.775,0.325
adventured,0.325,0.325,0.325,0.325
adventurer,0.3,0.3,0.3,0.3
adventurers,0.225,0.225,0.225,0.225
adventures,0.35,0.35,0.35,0.35
adventuresome,1.0,1.0,1.0,0.425
adventuresomeness,0.325,0.325,0.325,0.325
adventuress,0.2,0.2,0.2,0.2
adventuresses,0.35,0.35,0.35,0.35
adventuring,0.575,0.575,0.575,0.575
adventurism,1.0,1.0,0.7916666666666666,0.375
adventurist,0.35,0.35,0.35,0.35
adventuristic,0.425,0.425,0.425,0.425
adventurists,0.3,0.3,0.3,0.3
adventurous,1.0,1.0,1.0,0.35
adventurously,0.325,0.325,0.325,0.325
adventurousness,0.45,0.45,0.45,0.45
adversarial,-1.0,-1.0,-1.0,-0.375
adversaries,-0.25,-0.25,-0.25,-0.25
adversary,-1.0,-1.0,-1.0,-0.2
adversative,-0.3,-0.3,-0.3,-0.3
adversatively,-0.025,-0.025,-0.025,-0.025
adversatives,-0.25,-0.25,-0.25,-0.25
adverse,-1.0,-1.0,-1.0,-0.375
adversely,-0.2,-0.2,-0.2,-0.2
adverseness,-0.15,-0.15,-0.15,-0.15
adversities,-0.375,-0.375,-0.375,-0.375
adversity,-1.0,-1.0,-1.0,-0.45
advice,1.0,1.0,1.0,1.0
advisable,1.0,1.0,1.0,1.0
advocacy,1.0,1.0,1.0,1.0
advocate,1.0,1.0,1.0,1.0
advocated,1.0,1.0,1.0,1.0
advocates,1.0,1.0,1.0,1.0
affability,1.0,1.0,1.0,1.0
affable,1.0,1.0,1.0,1.0
affably,1.0,1.0,1.0,1.0
affect,0.0,0.0,0.0,0.0
affectation,-1.0,-1.0,1.0,-0.3333333333333333
affected,0.0,0.0,-0.049999999999999996,-0.15
affection,1.0,1.0,1.0,0.6
affectional,0.475,0.475,0.475,0.475
affectionally,0.375,0.375,0.375,0.375
affectionate,1.0,1.0,1.0,0.475
affectionately,0.55,0.55,0.55,0.55
affectioned,0.45,0.45,0.45,0.45
affectionless,-0.5,-0.5,-0.5,-0.5
affections,0.375,0.375,0.375,0.375
affinity,1.0,1.0,1.0,1.0
affirm,1.0,1.0,1.0,1.0
affirmation,1.0,1.0,1.0,1.0
affirmative,1.0,1.0,1.0,1.0
afflict,-1.0,-1.0,-1.0,-1.0
afflicted,-0.375,-0.375,-0.375,-0.375
affliction,-1.0,-1.0,-1.0,-1.0
afflictive,-1.0,-1.0,-1.0,-1.0
affluence,1.0,1.0,1.0,1.0
affluent,1.0,1.0,1.0,1.0
afford,1.0,1.0,1.0,1.0
affordable,1.0,1.0,1.0,1.0
affordably,1.0,1.0,1.0,1.0
affront,-1.0,-1.0,-1.0,-1.0
affronted,0.05,0.05,0.05,0.05
afloat,1.0,1.0,1.0,1.0
afordable,1.0,1.0,1.0,1.0
afraid,-1.0,-1.0,-1.0,-1.0
afu,-0.725,-0.725,-0.725,-0.725
against,-1.0,-1.0,-1.0,-1.0
aggravate,-1.0,-1.0,-1.0,-0.625
aggravated,-0.475,-0.475,-0.475,-0.475
aggravates,-0.475,-0.475,-0.475,-0.475
aggravating,-1.0,-1.0,-1.0,-0.3
aggravation,-1.0,-1.0,-1.0,-1.0
aggress,-0.325,-0.325,-0.325,-0.325
aggressed,-0.35,-0.35,-0.35,-0.35
aggresses,-0.125,-0.125,-0.125,-0.125
aggressing,-0.15,-0.15,-0.15,-0.15
aggression,-1.0,-1.0,-1.0,-0.3
aggressions,-0.325,-0.325,-0.325,-0.325
aggressive,-1.0,-1.0,-1.0,-0.15
aggressively,-0.325,-0.325,-0.325,-0.325
aggressiveness,-1.0,-1.0,-1.0,-0.45
aggressivities,-0.35,-0.35,-0.35,-0.35
aggressivity,-0.15,-0.15,-0.15,-0.15
aggressor,-1.0,-1.0,-1.0,-0.2
aggressors,-0.225,-0.225,-0.225,-0.225
aggrieve,-1.0,-1.0,-1.0,-1.0
aggrieved,-1.0,-1.0,-1.0,-1.0
aggrivation,-1.0,-1.0,-1.0,-1.0
aghast,-1.0,-1.0,-1.0,-0.475
agile,1.0,1.0,1.0,1.0
agilely,1.0,1.0,1.0,1.0
agility,1.0,1.0,1.0,1.0
agitate,-1.0,-1.0,-0.8083333333333332,-0.425
agitated,-1.0,-1.0,-0.8333333333333334,-0.5
agitatedly,-0.4,-0.4,-0.4,-0.4
agitates,-0.35,-0.35,-0.35,-0.35
agitating,-0.45,-0.45,-0.45,-0.45
agitation,-1.0,-1.0,-0.75,-0.25
agitational,-0.3,-0.3,-0.3,-0.3
agitations,-0.325,-0.325,-0.325,-0.325
agitative,-0.325,-0.325,-0.325,-0.325
agitato,-0.025,-0.025,-0.025,-0.025
agitator,-1.0,-1.0,-0.7833333333333333,-0.35
agitators,-0.525,-0.525,-0.525,-0.525
agog,0.475,0.475,0.475,0.475
agonies,-1.0,-1.0,-1.0,-1.0
agonise,-0.525,-0.525,-0.525,-0.525
agonised,-0.575,-0.575,-0.575,-0.575
agonises,-0.6,-0.6,-0.6,-0.6
agonising,-0.375,-0.375,-0.375,-0.375
agonize,-1.0,-1.0,-1.0,-0.575
agonized,-0.55,-0.55,-0.55,-0.55
agonizes,-0.575,-0.575,-0.575,-0.575
agonizing,-1.0,-1.0,-1.0,-0.675
agonizingly,-1.0,-1.0,-1.0,-0.575
agony,-1.0,-1.0,-1.0,-0.45
agree,1.0,1.0,0.7916666666666666,0.375
agreeability,1.0,1.0,0.8250000000000001,0.475
agreeable,1.0,1.0,1.0,0.45
agreeableness,1.0,1.0,1.0,0.45
agreeablenesses,0.325,0.325,0.325,0.325
agreeably,1.0,1.0,1.0,0.4
agreed,0.275,0.275,0.275,0.275
agreeing,0.35,0.35,0.35,0.35
agreement,1.0,1.0,0.85,0.55
agreements,0.275,0.275,0.275,0.275
agrees,0.2,0.2,0.2,0.2
aground,-1.0,-1.0,-1.0,-1.0
aha,0.0,0.0,0.0,0.0
ail,-1.0,-1.0,-1.0,-1.0
ailing,-1.0,-1.0,-1.0,-1.0
ailment,-1.0,-1.0,-1.0,-1.0
aimless,-1.0,-1.0,-1.0,-1.0
air,0.0,0.0,0.0,0.0
airs,-1.0,-1.0,-1.0,-1.0
alarm,-1.0,-1.0,-1.0,-0.35
alarmed,-1.0,-1.0,-1.0,-0.35
alarming,-1.0,-1.0,-1.0,-0.125
alarmingly,-1.0,-1.0,-1.0,-0.65
alarmism,-0.075,-0.075,-0.075,-0.075
alarmists,-0.275,-0.275,-0.275,-0.275
alarms,-0.275,-0.275,-0.275,-0.275
alas,-1.0,-1.0,-0.7583333333333333,-0.275
alert,0.0,0.0,0.09999999999999999,0.3
alienate,-1.0,-1.0,-1.0,-1.0
alienated,-1.0,-1.0,-1.0,-1.0
alienation,-1.0,-1.0,-1.0,-0.275
alive,0.4,0.4,0.4,0.4
all-around,1.0,1.0,1.0,1.0
all-time,0.0,0.0,0.0,0.0
allay,1.0,1.0,1.0,1.0
allegation,-1.0,-1.0,-1.0,-1.0
