WORD,OPENER,POL
adorable,1,positive
adore,1,positive
adored,1,positive
adorer,1,positive
adorer,1,positive
adoring,1,positive
adoringly,1,positive
adrift,-1,negative
adroit,1,positive
adroitly,1,positive
adulate,1,positive
adulation,1,positive
adulatory,1,positive
adulterate,-1,negative
adulterated,-1,negative
adulteration,-1,negative
advanced,1,positive
advantage,1,positive
advantage,1,positive
advantageous,1,positive
advantages,1,positive
advantages,1,positive
adventure,1,positive
adventure,1,positive
adventuresome,1,positive
adventurism,1,positive
adventurous,1,positive
adversarial,-1,negative
adversary,-1,negative
adverse,-1,negative
adversity,-1,negative
advice,1,positive
advice,1,positive
advisable,1,positive
advocate,1,positive
advocacy,1,positive
affable,1,positive
affability,1,positive
affably,1,positive
affect,0,neutral
affectation,-1,negative
affected,0,neutral
affection,1,positive
affection,1,positive
affectionate,1,positive
affinity,1,positive
affirm,1,positive
affirmation,1,positive
affirmation,1,positive
affirmative,1,positive
afflict,-1,negative
affliction,-1,negative
afflictive,-1,negative
affluent,1,positive
affluence,1,positive
afford,1,positive
affordable,1,positive
affront,-1,negative
affront,-1,negative
afloat,1,positive
afraid,-1,negative
against,-1,negative
aggravate,-1,negative
aggravating,-1,negative
aggravation,-1,negative
aggression,-1,negative
aggression,-1,negative
aggressive,-1,negative
aggressiveness,-1,negative
aggressor,-1,negative
aggrieve,-1,negative
aggrieved,-1,negative
aghast,-1,negative
agile,1,positive
agilely,1,positive
agility,1,positive
agitate,-1,negative
agitated,-1,negative
agitation,-1,negative
agitator,-1,negative
agonies,-1,negative
agonize,-1,negative
agonizing,-1,negative
agonizing,-1,negative
agonizingly,-1,negative
agony,-1,negative
agree,1,positive
agreeability,1,positive
agreeable,1,positive
agreeable,1,positive
agreeableness,1,positive
agreeably,1,positive
agreement,1,positive
agreement,1,positive
aha,0,neutral
ail,-1,negative
ail,-1,negative
ailment,-1,negative
aimless,-1,negative
air,0,neutral
airs,-1,negative
airs,-1,negative
alarm,-1,negative
alarm,-1,negative
alarmed,-1,negative
alarming,-1,negative
alarmingly,-1,negative
alas,-1,negative
alert,0,neutral
alienate,-1,negative
alienated,-1,negative
alienation,-1,negative
all-time,0,neutral
all-time,0,neutral
allay,1,positive
allegation,-1,negative
allegations,-1,negative
allege,-1,negative
allegations,-1,negative
allegorize,0,neutral
allergic,-1,negative
alleviate,1,positive
alliance,0,neutral
alliances,0,neutral
alliances,0,neutral
allow,1,positive
allowable,1,positive
allure,1,positive
allure,1,positive
alluring,1,positive
alluringly,1,positive
allusion,0,neutral
allusion,0,neutral
allusions,0,neutral
ally,1,positive
almighty,1,positive
aloof,-1,negative
altercation,-1,negative
although,-1,negative
altogether,0,neutral
altruist,1,positive
altruistic,1,positive
altruistically,1,positive
amaze,1,positive
amazed,1,positive
amazement,1,positive
amazing,1,positive
amazing,1,positive
amazingly,1,positive
ambiguous,-1,negative
ambiguity,-1,negative
ambitious,1,positive
ambitious,1,positive
ambitiously,1,positive
ambivalence,-1,negative
ambivalent,-1,negative
ambivalent,-1,negative
ambush,-1,negative
ambush,-1,negative
ameliorate,1,positive
amenable,1,positive
amenity,1,positive
amiability,1,positive
amiabily,1,positive
amiable,1,positive
amicability,1,positive
amicable,1,positive
amicably,1,positive
amiss,-1,negative
amity,1,positive
amity,1,positive
amnesty,1,positive
amour,1,positive
ample,1,positive
amply,1,positive
amplify,0,neutral
amputate,-1,negative
amuse,1,positive
amusement,1,positive
amusement,1,positive
amusing,1,positive
amusing,1,positive
amusingly,1,positive
analytical,0,neutral
anarchism,-1,negative
anarchist,-1,negative
anarchistic,-1,negative
anarchy,-1,negative
anemic,-1,negative
angel,1,positive
angelic,1,positive
anger,-1,negative
anger,-1,negative
anger,-1,negative
angrily,-1,negative
angriness,-1,negative
angry,-1,negative
anguish,-1,negative
anguish,-1,negative
annihilate,-1,negative
annihilation,-1,negative
animated,1,positive
animosity,-1,negative
annoy,-1,negative
annoyance,-1,negative
annoyed,-1,negative
annoying,-1,negative
annoying,-1,negative
annoyingly,-1,negative
anomalous,-1,negative
anomaly,-1,negative
antagonism,-1,negative
antagonist,-1,negative
antagonistic,-1,negative
antagonize,-1,negative
anti-,-1,negative
anti-American,-1,negative
anti-American,-1,negative
anti-Israeli,-1,negative
anti-Israeli,-1,negative
anti-Semites,-1,negative
anti-Semites,-1,negative
anti-US,-1,negative
anti-US,-1,negative
anti-occupation,-1,negative
anti-occupation,-1,negative
anti-proliferation,-1,negative
anti-proliferation,-1,negative
anti-social,-1,negative
anti-white,-1,negative
anti-white,-1,negative
antipathy,-1,negative
antiquated,-1,negative
antithetical,-1,negative
antithetical,-1,negative
anxieties,-1,negative
anxiety,-1,negative
anxious,-1,negative
anxiously,-1,negative
anxiousness,-1,negative
anyhow,0,neutral
anyway,0,neutral
anyways,0,neutral
apathetic,-1,negative
apathetic,-1,negative
apathetically,-1,negative
apathy,-1,negative
ape,-1,negative
apocalypse,-1,negative
apocalyptic,-1,negative
apologist,-1,negative
apologist,-1,negative
apologists,-1,negative
apologists,-1,negative
apostle,1,positive
apostle,1,positive
apotheosis,1,positive
apotheosis,1,positive
appal,-1,negative
appall,-1,negative
appall,-1,negative
appall,-1,negative
appalled,-1,negative
appalling,-1,negative
appallingly,-1,negative
apparent,0,neutral
apparently,0,neutral
appeal,1,positive
appeal,1,positive
appeal,1,positive
appealing,1,positive
appear,0,neutral
appearance,0,neutral
appearance,0,neutral
appease,1,positive
applaud,1,positive
appreciable,1,positive
appreciate,1,positive
appreciation,1,positive
appreciation,1,positive
appreciative,1,positive
appreciatively,1,positive
appreciativeness,1,positive
apprehend,0,neutral
apprehension,-1,negative
apprehensions,-1,negative
apprehensions,-1,negative
apprehensive,-1,negative
apprehensive,-1,negative
apprehensively,-1,negative
appropriate,1,positive
approval,1,positive
approve,1,positive
apt,1,positive
aptly,1,positive
aptitude,1,positive
arbitrary,-1,negative
arcane,-1,negative
archaic,-1,negative
ardent,1,positive
ardently,1,positive
ardor,1,positive
arduous,-1,negative
arduously,-1,negative
aristocratic,1,positive
argue,-1,negative
argument,-1,negative
argument,-1,negative
argumentative,-1,negative
arguments,-1,negative
arguments,-1,negative
arousal,1,positive
arouse,1,positive
arousing,1,positive
arresting,1,positive
arrogance,-1,negative
arrogant,-1,negative
arrogant,-1,negative
arrogantly,-1,negative
arrogantly,-1,negative
articulate,1,positive
artificial,-1,negative
ascendant,1,positive
ascendant,1,positive
ascertainable,1,positive
ascertainable,1,positive
ashamed,-1,negative
asinine,-1,negative
asininely,-1,negative
asinininity,-1,negative
askance,-1,negative
asperse,-1,negative
aspersion,-1,negative
aspersions,-1,negative
aspiration,1,positive
aspirations,1,positive
aspirations,1,positive
aspire,1,positive
assail,-1,negative
assassinate,-1,negative
assassin,-1,negative
assault,-1,negative
assault,-1,negative
assent,1,positive
assertions,1,positive
assertions,1,positive
assertive,1,positive
assess,0,neutral
assessment,0,neutral
assessment,0,neutral
assessments,0,neutral
assessments,0,neutral
asset,1,positive
assiduous,1,positive
assiduously,1,positive
assuage,1,positive
assumption,0,neutral
assumption,0,neutral
assurance,1,positive
assurance,1,positive
assurances,1,positive
assurances,1,positive
assure,1,positive
assuredly,1,positive
astonish,1,positive
astonished,1,positive
astonishing,1,positive
astonishing,1,positive
astonishingly,1,positive
astonishment,1,positive
astound,1,positive
astounded,1,positive
astounding,1,positive
astounding,1,positive
astounding,1,positive
astoundingly,1,positive
astray,-1,negative
astronomic,0,neutral
astronomical,0,neutral
astronomically,0,neutral
astute,1,positive
astutely,1,positive
asunder,-1,negative
asylum,1,positive
asylum,1,positive
atrocious,-1,negative
atrocities,-1,negative
atrocity,-1,negative
atrophy,-1,negative
attack,-1,negative
attack,-1,negative
attain,1,positive
attainable,1,positive
attentive,1,positive
attest,1,positive
attitude,0,neutral
attitude,0,neutral
attitudes,0,neutral
attitudes,0,neutral
attraction,1,positive
attraction,1,positive
attractive,1,positive
attractive,1,positive
attractively,1,positive
attune,1,positive
audacious,-1,negative
audaciously,-1,negative
audaciousness,-1,negative
audacity,-1,negative
auspicious,1,positive
austere,-1,negative
authentic,1,positive
authoritarian,-1,negative
authoritative,1,positive
autocrat,-1,negative
autocratic,-1,negative
award,1,positive
award,1,positive
awareness,0,neutral
aware,0,neutral
autocratic,-1,negative
autocratic,-1,negative
autonomous,1,positive
avalanche,-1,negative
avalanche,-1,negative
avarice,-1,negative
avaricious,-1,negative
avariciously,-1,negative
avenge,-1,negative
aver,1,positive
averse,-1,negative
aversion,-1,negative
avid,1,positive
avidly,1,positive
avoid,-1,negative
avoidance,-1,negative
awe,1,positive
awe,1,positive
awed,1,positive
awesome,1,positive
awesome,1,positive
awesomely,1,positive
awesomeness,1,positive
awestruck,1,positive
awful,-1,negative
awful,-1,negative
awfully,-1,negative
awfulness,-1,negative
awfulness,-1,negative
awkward,-1,negative
awkwardness,-1,negative
ax,-1,negative
babble,-1,negative
baby,0,neutral
baby,0,neutral
back,1,positive
backbite,-1,negative
backbiting,-1,negative
backbone,1,positive
backward,-1,negative
backwardness,-1,negative
bad,-1,negative
badly,-1,negative
baffle,-1,negative
baffled,-1,negative
bafflement,-1,negative
baffling,-1,negative
bait,-1,negative
balanced,1,positive
balk,-1,negative
banal,-1,negative
banal,-1,negative
banalize,-1,negative
bane,-1,negative
banish,-1,negative
banish,-1,negative
banishment,-1,negative
bankrupt,-1,negative
bankrupt,-1,negative
bar,-1,negative
barbarian,-1,negative
barbarian,-1,negative
barbaric,-1,negative
barbarically,-1,negative
barbarity,-1,negative
barbarity,-1,negative
barbarous,-1,negative
barbarous,-1,negative
barbarously,-1,negative
barely,-1,negative
bargain,1,positive
bargain,1,positive
barren,-1,negative
baseless,-1,negative
bashful,-1,negative
basic,1,positive
basically,0,neutral
bask,1,positive
bastard,-1,negative
bastard,-1,negative
batons,0,neutral
batons,0,neutral
battered,-1,negative
battering,-1,negative
battering,-1,negative
battle,-1,negative
battle-lines,-1,negative
battle-lines,-1,negative
battlefield,-1,negative
battleground,-1,negative
battleground,-1,negative
batty,-1,negative
beacon,1,positive
bearish,-1,negative
beast,-1,negative
beast,-1,negative
beastly,-1,negative
beatify,1,positive
beauteous,1,positive
beautiful,1,positive
beautiful,1,positive
beautifully,1,positive
beautify,1,positive
beauty,1,positive
bedlam,-1,negative
bedlamite,-1,negative
befit,1,positive
befitting,1,positive
befoul,-1,negative
befriend,1,positive
beg,-1,negative
beggar,-1,negative
beggarly,-1,negative
begging,-1,negative
begging,-1,negative
beguile,-1,negative
belated,-1,negative
belabor,-1,negative
beleaguer,-1,negative
belie,-1,negative
belief,0,neutral
belief,0,neutral
beliefs,0,neutral
beliefs,0,neutral
believable,1,positive
believe,0,neutral
belittle,-1,negative
belittled,-1,negative
belittling,-1,negative
bellicose,-1,negative
bellicose,-1,negative
belligerence,-1,negative
belligerent,-1,negative
belligerent,-1,negative
belligerently,-1,negative
beloved,1,positive
bemoan,-1,negative
bemoaning,-1,negative
bemused,-1,negative
benefactor,1,positive
beneficial,1,positive
beneficent,1,positive
beneficial,1,positive
beneficially,1,positive
beneficiary,1,positive
beneficiary,1,positive
benefit,1,positive
benefit,1,positive
benefits,1,positive
benefits,1,positive
benevolence,1,positive
benevolent,1,positive
benign,1,positive
bent,-1,negative
berate,-1,negative
bereave,-1,negative
bereavement,-1,negative
bereft,-1,negative
berserk,-1,negative
beseech,-1,negative
beset,-1,negative
besides,0,neutral
besiege,-1,negative
besmirch,-1,negative
best,1,positive
best-known,1,positive
best-performing,1,positive
best-selling,1,positive
bestial,-1,negative
betray,-1,negative
betrayal,-1,negative
betrayals,-1,negative
betrayer,-1,negative
better,1,positive
better,1,positive
better-known,1,positive
better-than-expected,1,positive
bewail,-1,negative
beware,-1,negative
bewilder,-1,negative
bewildered,-1,negative
bewildering,-1,negative
bewildering,-1,negative
bewilderingly,-1,negative
bewilderment,-1,negative
bewitch,-1,negative
bias,-1,negative
bias,-1,negative
bias,-1,negative
biased,-1,negative
biased,-1,negative
biases,-1,negative
biases,-1,negative
bicker,-1,negative
bickering,-1,negative
bid-rigging,-1,negative
big,0,neutral
bitch,-1,negative
bitchy,-1,negative
biting,-1,negative
bitingly,-1,negative
bitter,-1,negative
bitterly,-1,negative
bitterness,-1,negative
bizarre,-1,negative
blab,-1,negative
blabber,-1,negative
black,-1,negative
blackmail,-1,negative
blah,-1,negative
blame,-1,negative
blame,-1,negative
blame,-1,negative
blameless,1,positive
blameworthy,-1,negative
bland,-1,negative
blandish,-1,negative
blaspheme,-1,negative
blasphemous,-1,negative
blasphemous,-1,negative
blasphemy,-1,negative
blast,-1,negative
blasted,-1,negative
blatant,-1,negative
blatantly,-1,negative
blather,-1,negative
bleak,-1,negative
bleakly,-1,negative
bleakness,-1,negative
bleed,-1,negative
blemish,-1,negative
blemish,-1,negative
bless,1,positive
blessing,1,positive
blessing,1,positive
blind,-1,negative
blinding,-1,negative
blinding,-1,negative
blindingly,-1,negative
blindness,-1,negative
blindside,-1,negative
bliss,1,positive
blissful,1,positive
blissfully,1,positive
blister,-1,negative
blistering,-1,negative
blithe,1,positive
bloated,-1,negative
block,-1,negative
block,-1,negative
blockhead,-1,negative
blood,0,neutral
blood,-1,negative
bloodshed,-1,negative
bloodthirsty,-1,negative
bloody,-1,negative
bloom,1,positive
blossom,1,positive
blow,-1,negative
blow,-1,negative
blunder,-1,negative
blunder,-1,negative
blundering,-1,negative
blunders,-1,negative
blunt,-1,negative
blur,-1,negative
blurt,-1,negative
boast,1,positive
boast,-1,negative
boastful,-1,negative
boggle,-1,negative
bogus,-1,negative
boil,-1,negative
boiling,-1,negative
boisterous,-1,negative
bold,1,positive
boldly,1,positive
boldness,1,positive
bolster,1,positive
bombard,-1,negative
bomb,-1,negative
bombardment,-1,negative
bombardment,-1,negative
bombastic,-1,negative
bondage,-1,negative
bonkers,-1,negative
bonkers,-1,negative
bonny,1,positive
bonus,1,positive
boom,1,positive
booming,1,positive
boost,1,positive
boost,1,positive
bore,-1,negative
boredom,-1,negative
boring,-1,negative
boring,-1,negative
botch,-1,negative
bother,-1,negative
bother,-1,negative
bothersome,-1,negative
boundless,1,positive
bountiful,1,positive
bowdlerize,-1,negative
boycott,-1,negative
boycott,-1,negative
brag,0,both
brag,0,both
braggart,-1,negative
braggart,-1,negative
bragger,-1,negative
bragger,-1,negative
brains,1,positive
brains,1,positive
brainwash,-1,negative
brainy,1,positive
brash,-1,negative
brashly,-1,negative
brashness,-1,negative
brat,-1,negative
bravado,-1,negative
brave,1,positive
brave,1,positive
bravery,1,positive
bravery,1,positive
brazen,-1,negative
brazenly,-1,negative
brazenly,-1,negative
brazenness,-1,negative
brazenness,-1,negative
breach,-1,negative
breach,-1,negative
break,-1,negative
break-point,-1,negative
break-point,-1,negative
breakdown,-1,negative
breakthrough,1,positive
breakthrough,1,positive
breakthroughs,1,positive
breakthroughs,1,positive
breathlessness,1,positive
breathlessness,1,positive
breathtaking,1,positive
breathtakingly,1,positive
bright,1,positive
brighten,1,positive
brightness,1,positive
brilliance,1,positive
brilliant,1,positive
brilliant,1,positive
brilliantly,1,positive
brimstone,-1,negative
brimstone,-1,negative
brisk,1,positive
bristle,-1,negative
brittle,-1,negative
broad,1,positive
broad-based,0,neutral
broke,-1,negative
broken-hearted,-1,negative
brood,-1,negative
brook,1,positive
brotherly,1,positive
browbeat,-1,negative
bruise,-1,negative
brusque,-1,negative
brutal,-1,negative
brutalising,-1,negative
brutalising,-1,negative
brutalities,-1,negative
brutalities,-1,negative
brutality,-1,negative
brutalize,-1,negative
brutalizing,-1,negative
brutally,-1,negative
brute,-1,negative
brutish,-1,negative
bug,-1,negative
buckle,-1,negative
bulky,-1,negative
bull,1,positive
bull,1,positive
bullies,-1,negative
bullies,-1,negative
bullish,1,positive
bullish,1,positive
bully,-1,negative
bully,-1,negative
bullyingly,-1,negative
bum,-1,negative
bumpy,-1,negative
bungle,-1,negative
bungler,-1,negative
bunk,-1,negative
buoyant,1,positive
burden,-1,negative
burden,-1,negative
burdensome,-1,negative
burdensome,-1,negative
burdensomely,-1,negative
burn,-1,negative
busy,-1,negative
busybody,-1,negative
butcher,-1,negative
butchery,-1,negative
byzantine,-1,negative
cackle,-1,negative
cajole,-1,negative
calamities,-1,negative
calamitous,-1,negative
calamitously,-1,negative
calamity,-1,negative
calamity,-1,negative
callous,-1,negative
calm,1,positive
calm,1,positive
calming,1,positive
calmness,1,positive
calumniate,-1,negative
calumniation,-1,negative
calumnies,-1,negative
calumnious,-1,negative
calumniously,-1,negative
calumny,-1,negative
cancer,-1,negative
cancerous,-1,negative
candid,1,positive
candor,1,positive
cannibal,-1,negative
cannibalize,-1,negative
capable,1,positive
capability,1,positive
capably,1,positive
capitalize,1,positive
capitulate,-1,negative
capricious,-1,negative
capriciously,-1,negative
capriciousness,-1,negative
capsize,-1,negative
captivate,1,positive
captivating,1,positive
captivation,1,positive
captive,-1,negative
care,1,positive
carefree,1,positive
careful,1,positive
careless,-1,negative
carelessness,-1,negative
caricature,-1,negative
carnage,-1,negative
carp,-1,negative
cartoon,-1,negative
cartoon,-1,negative
cartoonish,-1,negative
cash-strapped,-1,negative
castigate,-1,negative
casualty,-1,negative
cataclysm,-1,negative
cataclysmal,-1,negative
cataclysmic,-1,negative
cataclysmically,-1,negative
catalyst,1,positive
catalyst,1,positive
catastrophe,-1,negative
catastrophe,-1,negative
catastrophes,-1,negative
catastrophic,-1,negative
catastrophic,-1,negative
catastrophically,-1,negative
catchy,1,positive
caustic,-1,negative
caustically,-1,negative
cautionary,-1,negative
cautious,-1,negative
cave,-1,negative
ceaseless,0,neutral
celebrate,1,positive
celebrated,1,positive
celebration,1,positive
celebratory,1,positive
celebrity,1,positive
censure,-1,negative
censure,-1,negative
censure,-1,negative
central,0,neutral
certain,0,neutral
certainly,0,neutral
certified,0,neutral
chafe,-1,negative
chaff,-1,negative
chagrin,-1,negative
chagrin,-1,negative
challenge,-1,negative
challenge,-1,negative
challenging,-1,negative
champion,1,positive
champion,1,positive
champ,1,positive
champion,1,positive
chant,0,neutral
chant,0,neutral
chaos,-1,negative
chaotic,-1,negative
charisma,-1,negative
charismatic,1,positive
charitable,1,positive
charitable,1,positive
charity,1,positive
charm,1,positive
charm,1,positive
charm,1,positive
charming,1,positive
charming,1,positive
charmingly,1,positive
chaste,1,positive
chasten,-1,negative
chastise,-1,negative
chastisement,-1,negative
chatter,-1,negative
chatterbox,-1,negative
cheapen,-1,negative
cheap,-1,negative
cheat,-1,negative
cheat,-1,negative
cheater,-1,negative
cheer,1,positive
cheer,1,positive
cheery,1,positive
cheerful,1,positive
cheerless,-1,negative
cherish,1,positive
cherished,1,positive
cherub,1,positive
chic,1,positive
chide,-1,negative
childish,-1,negative
chill,-1,negative
chilly,-1,negative
chit,-1,negative
chivalry,1,positive
chivalrous,1,positive
choppy,-1,negative
choke,-1,negative
chore,-1,negative
chronic,-1,negative
chum,1,positive
civility,1,positive
civilization,1,positive
civilize,1,positive
civilize,1,positive
civil,1,positive
claim,0,neutral
clamor,-1,negative
clamorous,-1,negative
clandestine,0,neutral
clarity,1,positive
clash,-1,negative
clash,-1,negative
classic,1,positive
clean,1,positive
cleanliness,1,positive
cleanse,1,positive
clear,1,positive
clear-cut,1,positive
clearer,1,positive
clearer,1,positive
clearly,1,positive
clever,1,positive
cliche,-1,negative
cliched,-1,negative
clique,-1,negative
clog,-1,negative
close,-1,negative
closeness,1,positive
closeness,1,positive
cloud,-1,negative
clout,1,positive
clout,1,positive
clumsy,-1,negative
co-operation,1,positive
co-operation,1,positive
coarse,-1,negative
coax,1,positive
cocky,-1,negative
coddle,1,positive
coerce,-1,negative
coercion,-1,negative
coercive,-1,negative
cogent,1,positive
cohesive,1,positive
cogitate,0,neutral
cognizance,0,neutral
cognizance,0,neutral
cognizant,0,neutral
cohere,1,positive
coherence,1,positive
coherence,1,positive
coherent,1,positive
cohesion,1,positive
cohesive,1,positive
cold,-1,negative
coldly,-1,negative
collapse,-1,negative
collapse,-1,negative
collide,-1,negative
collude,-1,negative
collusion,-1,negative
colorful,1,positive
colossal,1,positive
combative,-1,negative
comeback,1,positive
comeback,1,positive
comedy,-1,negative
comedy,-1,negative
comely,1,positive
comfort,1,positive
comfortable,1,positive
comfortable,1,positive
comfortably,1,positive
comforting,1,positive
comical,-1,negative
commend,1,positive
commendable,1,positive
commendably,1,positive
commensurate,1,positive
commonsense,1,positive
commonsensible,1,positive
commonsensibly,1,positive
commonsensical,1,positive
comment,0,neutral
comment,0,neutral
commentator,0,neutral
commentator,0,neutral
commodious,1,positive
commiserate,-1,negative
commitment,1,positive
commitment,1,positive
commonplace,-1,negative
commotion,-1,negative
commotion,-1,negative
compact,1,positive
compassion,1,positive
compassionate,1,positive
compatible,1,positive
compatible,1,positive
compel,-1,negative
compelling,1,positive
compelling,1,positive
compensate,1,positive
competent,1,positive
competence,1,positive
competency,1,positive
competitive,1,positive
competitive,1,positive
competitiveness,1,positive
complacent,-1,negative
complacent,-1,negative
complain,-1,negative
complaining,-1,negative
complaining,-1,negative
complaint,-1,negative
complaints,-1,negative
complaints,-1,negative
complement,1,positive
complement,1,positive
complete,0,neutral
completely,0,neutral
complex,-1,negative
compliant,1,positive
compliant,1,positive
complicate,-1,negative
complicated,-1,negative
complication,-1,negative
complicit,-1,negative
compliment,1,positive
complimentary,1,positive
comprehend,0,neutral
comprehensive,1,positive
compromise,1,positive
compromise,1,positive
compromise,1,positive
compromises,1,positive
compromises,1,positive
compulsion,-1,negative
compulsive,-1,negative
compulsory,-1,negative
comrades,1,positive
comrades,1,positive
concede,-1,negative
conceit,-1,negative
conceited,-1,negative
conceivable,1,positive
conceivable,1,positive
concern,-1,negative
concern,-1,negative
concern,-1,negative
concerned,-1,negative
concerning,0,neutral
concerning,0,neutral
concerns,-1,negative
concerns,-1,negative
concerted,0,neutral
concession,-1,negative
concession,-1,negative
concessions,-1,negative
concessions,-1,negative
conciliate,1,positive
conciliatory,1,positive
conclusive,1,positive
concrete,1,positive
concur,1,positive
condescend,-1,negative
condescending,-1,negative
condescendingly,-1,negative
condescension,-1,negative
condemn,-1,negative
condemn,-1,negative
condemnable,-1,negative
condemnation,-1,negative
condolence,-1,negative
condolences,-1,negative
condolences,-1,negative
condone,1,positive
conducive,1,positive
conducive,1,positive
confer,1,positive
confess,-1,negative
confession,-1,negative
confessions,-1,negative
confessions,-1,negative
confide,0,neutral
confidence,1,positive
confidence,1,positive
confident,1,positive
conflict,-1,negative
conflict,-1,negative
confound,-1,negative
confound,-1,negative
confounded,-1,negative
confounding,-1,negative
confront,-1,negative
confrontation,-1,negative
confrontation,-1,negative
confrontational,-1,negative
confuse,-1,negative
confused,-1,negative
confusing,-1,negative
confusing,-1,negative
confusion,-1,negative
confusion,-1,negative
confute,1,positive
congenial,1,positive
congested,-1,negative
congestion,-1,negative
congratulate,1,positive
congratulations,1,positive
congratulations,1,positive
congratulatory,1,positive
conjecture,0,neutral
conquer,1,positive
conscience,0,neutral
conscience,1,positive
conscientious,1,positive
consciousness,0,neutral
consciousness,0,neutral
consensus,1,positive
consent,1,positive
consequently,0,neutral
consider,0,neutral
considerable,0,neutral
considerably,0,neutral
considerate,1,positive
consideration,0,neutral
consideration,0,neutral
consistent,1,positive
console,1,positive
conspicuous,-1,negative
conspicuous,-1,negative
conspicuously,-1,negative
conspiracies,-1,negative
conspiracies,-1,negative
conspiracy,-1,negative
conspiracy,-1,negative
conspirator,-1,negative
conspirator,-1,negative
conspiratorial,-1,negative
conspire,-1,negative
constancy,1,positive
consternation,-1,negative
constitutions,0,neutral
constitutions,0,neutral
constrain,-1,negative
constraint,-1,negative
constructive,1,positive
constructive,1,positive
constructive,1,positive
consume,-1,negative
consummate,1,positive
contagious,-1,negative
contaminate,-1,negative
contamination,-1,negative
contemplate,0,neutral
contempt,-1,negative
contemptible,-1,negative
contemptuous,-1,negative
contemptuously,-1,negative
contend,-1,negative
content,1,positive
content,1,positive
contention,-1,negative
contentment,1,positive
contentious,-1,negative
contentious,-1,negative
continuity,1,positive
continuous,0,neutral
contort,-1,negative
contortions,-1,negative
contortions,-1,negative
contradict,-1,negative
contradiction,-1,negative
contradictory,-1,negative
contrariness,-1,negative
contrary,-1,negative
contravene,-1,negative
contribution,1,positive
contribution,1,positive
contrive,-1,negative
contrived,-1,negative
controversial,-1,negative
controversial,-1,negative
controversy,-1,negative
controversy,-1,negative
convenient,1,positive
convenient,1,positive
conveniently,1,positive
conviction,1,positive
conviction,1,positive
convince,1,positive
convincing,1,positive
convincing,1,positive
convincingly,1,positive
convoluted,-1,negative
cooperate,1,positive
cooperation,1,positive
cooperation,1,positive
cooperative,1,positive
cooperatively,1,positive
coping,-1,negative
coping,-1,negative
cordial,1,positive
cornerstone,1,positive
cornerstone,1,positive
